epoch,train_loss,val_loss,accuracy,precision_macro,recall_macro,f1_macro,kappa
1,3.3243070480413737,1.40944813657552,0.29130859375,0.23430148887780727,0.29130859375,0.2121082526603888,0.05507812499999999
2,1.3236631016945466,1.3094170865835622,0.36923828125,0.3614592097341631,0.36923828125,0.29324210542301726,0.15898437499999996
3,1.174138452706393,1.2004215132612444,0.4673828125,0.47654585895304014,0.4673828125,0.4165536485592029,0.2898437499999999
4,0.9908961617155001,0.9954626944285622,0.53818359375,0.5668902231065871,0.53818359375,0.5110247421262539,0.3842447916666666
5,0.8488918064162135,0.7767162107009483,0.65263671875,0.65388298379933,0.65263671875,0.6363531864451606,0.5368489583333333
6,0.771007613115944,0.7043528731575861,0.67314453125,0.6759312846982478,0.67314453125,0.6625322828350564,0.5641927083333332
7,0.7113318857154809,0.6998263666301021,0.68759765625,0.7121674019641283,0.68759765625,0.6718691934479142,0.5834635416666666
8,0.6648122701095417,0.7045154619572159,0.689453125,0.7235446868381362,0.689453125,0.6789056934991404,0.5859375
9,0.6378793484531343,0.6732187808007687,0.69775390625,0.7374933116483376,0.69775390625,0.6880240399008203,0.5970052083333333
10,0.6017067832988687,1.03028580501191,0.706640625,0.7339467678500171,0.706640625,0.693681514415904,0.6088541666666666
11,0.5718348403170239,0.6136829456414576,0.74423828125,0.7603116135138107,0.74423828125,0.7383964705881849,0.6589843750000002
12,0.563305580226006,0.49775864043513474,0.781640625,0.7923287387371886,0.781640625,0.7815555607456643,0.7088541666666666
13,0.5382184047281043,0.484769227959417,0.78427734375,0.7999790930393502,0.78427734375,0.7855010696686254,0.7123697916666666
14,0.5120485302672023,0.4820569708925048,0.77939453125,0.8078810213662055,0.77939453125,0.7727306151846066,0.705859375
15,0.5016908395598876,0.5759978914554751,0.759375,0.774847605235361,0.759375,0.7498130684430026,0.6791666666666666
16,0.48055260165128855,0.42050214387695134,0.8111328125,0.8203971484024963,0.8111328125,0.8092783845658961,0.7481770833333333
17,0.4529164574749302,0.5083982102107261,0.77861328125,0.8003383668102007,0.77861328125,0.7777942245345327,0.7048177083333333
18,0.4443967933577369,0.45249564586423235,0.80458984375,0.812172710787497,0.80458984375,0.7966973411510547,0.739453125
19,0.42477894410403677,0.41952562175692754,0.81015625,0.8307248224108997,0.81015625,0.8002103781601271,0.746875
20,0.4041427315460169,0.4072503987481374,0.82919921875,0.8432759431881788,0.82919921875,0.8267620159897044,0.7722656250000001
