epoch,lr_used,next_lr,train_loss
1,0.001,0.00096,3.0406629968434573
2,0.00096,0.0009216,1.218707593344152
3,0.0009216,0.0008847359999999,0.9147525049280376
4,0.0008847359999999,0.0008493465599999,0.8047948408871889
5,0.0008493465599999,0.0008153726975999,0.7327278584241868
6,0.0008153726975999,0.0007827577896959,0.7092854914721102
7,0.0007827577896959,0.0007514474781081,0.65620219304692
8,0.0007514474781081,0.0007213895789838,0.6335605805274099
9,0.0007213895789838,0.0006925339958244,0.5729900237405673
10,0.0006925339958244,0.0006648326359915,0.5557801465969533
11,0.0006648326359915,0.0006382393305518,0.539623706927523
12,0.0006382393305518,0.0006127097573297,0.5422879279474728
13,0.0006127097573297,0.0005882013670365,0.4932811028207652
14,0.0005882013670365,0.0005646733123551,0.4794985632412135
15,0.0005646733123551,0.0005420863798609,0.4372808712883852
16,0.0005420863798609,0.0005204029246664,0.4127045243163593
17,0.0005204029246664,0.0004995868076798,0.415558611031156
18,0.0004995868076798,0.0004796033353726,0.3961031922663096
19,0.0004796033353726,0.0004604192019577,0.3859422347741201
20,0.0004604192019577,0.0004420024338794,0.3579394017637242
21,0.0004420024338794,0.0004243223365242,0.3319571164844092
22,0.0004243223365242,0.0004073494430632,0.3403757818799932
23,0.0004073494430632,0.0003910554653407,0.300785891310079
24,0.0003910554653407,0.0003754132467271,0.2789381613547448
25,0.0003754132467271,0.000360396716858,0.2783502008998766
26,0.000360396716858,0.0003459808481836,0.2540452248213114
27,0.0003459808481836,0.0003321416142563,0.238138088706728
28,0.0003321416142563,0.000318855949686,0.2250330938135448
29,0.000318855949686,0.0003061017116986,0.1974128222711442
30,0.0003061017116986,0.0002938576432307,0.1866486877523129
31,0.0002938576432307,0.0002821033375014,0.1738833891286049
32,0.0002821033375014,0.0002708192040014,0.1659420745458192
33,0.0002708192040014,0.0002599864358413,0.1525566831091055
34,0.0002599864358413,0.0002495869784077,0.1333943871806696
35,0.0002495869784077,0.0002396034992713,0.1277044903558817
36,0.0002396034992713,0.0002300193593005,0.1168728588416343
37,0.0002300193593005,0.0002208185849285,0.1167371445791104
38,0.0002208185849285,0.0002119858415313,0.0983718670098824
39,0.0002119858415313,0.0002035064078701,0.0964311903196176
40,0.0002035064078701,0.0001953661515553,0.0823700268207403
41,0.0001953661515553,0.0001875515054931,0.0865895867219478
42,0.0001875515054931,0.0001800494452733,0.0731379997412432
43,0.0001800494452733,0.0001728474674624,0.0701652041016132
44,0.0001728474674624,0.0001659335687639,0.0681220083674134
45,0.0001659335687639,0.0001592962260133,0.0610875665798289
46,0.0001592962260133,0.0001529243769728,0.0575286042526158
47,0.0001529243769728,0.0001468074018939,0.0504868879348578
48,0.0001468074018939,0.0001409351058181,0.0483870084989462
49,0.0001409351058181,0.0001352977015854,0.0504545679573311
50,0.0001352977015854,0.000129885793522,0.0427751686974883
51,0.000129885793522,0.0001246903617811,0.0478125014301994
52,0.0001246903617811,0.0001197027473099,0.0382549117090679
53,0.0001197027473099,0.0001149146374175,0.0363104639766788
54,0.0001149146374175,0.0001103180519208,0.039520114148113
55,0.0001103180519208,0.0001059053298439,0.0303431325296543
56,0.0001059053298439,0.0001016691166502,0.0275332902552438
57,0.0001016691166502,9.76023519842129e-05,0.0263211969227278
58,9.76023519842129e-05,9.369825790484438e-05,0.0305511574963446
59,9.369825790484438e-05,8.99503275886506e-05,0.0231515092600876
60,8.99503275886506e-05,8.635231448510457e-05,0.0236379990597704
61,8.635231448510457e-05,8.289822190570039e-05,0.0231736481851136
62,8.289822190570039e-05,7.958229302947238e-05,0.0256475403964289
63,7.958229302947238e-05,7.639900130829348e-05,0.0202788354368259
64,7.639900130829348e-05,7.334304125596173e-05,0.021543526213781
65,7.334304125596173e-05,7.040931960572326e-05,0.0165957479721348
66,7.040931960572326e-05,6.759294682149432e-05,0.0215341811790277
67,6.759294682149432e-05,6.488922894863454e-05,0.0154180657040027
68,6.488922894863454e-05,6.229365979068916e-05,0.0171684415247245
69,6.229365979068916e-05,5.980191339906159e-05,0.0165980278425676
70,5.980191339906159e-05,5.740983686309913e-05,0.0158524633880513
71,5.740983686309913e-05,5.511344338857516e-05,0.0129933090204669
72,5.511344338857516e-05,5.290890565303215e-05,0.0157168968776773
73,5.290890565303215e-05,5.079254942691087e-05,0.0129406760460948
74,5.079254942691087e-05,4.876084744983443e-05,0.008548414687098
75,4.876084744983443e-05,4.681041355184105e-05,0.0128100832165126
76,4.681041355184105e-05,4.49379970097674e-05,0.0152965985459997
77,4.49379970097674e-05,4.31404771293767e-05,0.0112153464413425
78,4.31404771293767e-05,4.141485804420163e-05,0.0093219661915308
79,4.141485804420163e-05,3.975826372243356e-05,0.008421504835139
80,3.975826372243356e-05,3.8167933173536215e-05,0.0102070923764706
81,3.8167933173536215e-05,3.6641215846594765e-05,0.0110722183878541
82,3.6641215846594765e-05,3.5175567212730975e-05,0.0121728150056082
83,3.5175567212730975e-05,3.376854452422173e-05,0.009851864720362
84,3.376854452422173e-05,3.241780274325286e-05,0.0085411825598802
85,3.241780274325286e-05,3.112109063352275e-05,0.0078325191464185
86,3.112109063352275e-05,2.987624700818184e-05,0.0078315555162702
87,2.987624700818184e-05,2.868119712785457e-05,0.0122802279772894
88,2.868119712785457e-05,2.7533949242740383e-05,0.0061629606453909
89,2.7533949242740383e-05,2.6432591273030768e-05,0.0093218951826246
90,2.6432591273030768e-05,2.5375287622109537e-05,0.0074355153132899
91,2.5375287622109537e-05,2.4360276117225157e-05,0.0050552671457217
92,2.4360276117225157e-05,2.3385865072536148e-05,0.0072597473279674
93,2.3385865072536148e-05,2.24504304696347e-05,0.0051666492469363
94,2.24504304696347e-05,2.155241325084931e-05,0.0043242763678306
95,2.155241325084931e-05,2.069031672081534e-05,0.0054705943170511
96,2.069031672081534e-05,1.9862704051982723e-05,0.0057260681775182
97,1.9862704051982723e-05,1.9068195889903414e-05,0.0030191348800269
98,1.9068195889903414e-05,1.8305468054307275e-05,0.0059130772729224
99,1.8305468054307275e-05,1.7573249332134985e-05,0.0044033351596066
100,1.7573249332134985e-05,1.6870319358849586e-05,0.0074503349225634
101,1.6870319358849586e-05,1.61955065844956e-05,0.0048959312622803
102,1.61955065844956e-05,1.5547686321115776e-05,0.0025315011831487
103,1.5547686321115776e-05,1.4925778868271143e-05,0.0048277784904205
104,1.4925778868271143e-05,1.4328747713540298e-05,0.0041836433357162
105,1.4328747713540298e-05,1.3755597804998686e-05,0.0034828101920188
106,1.3755597804998686e-05,1.3205373892798736e-05,0.0037080847569603
107,1.3205373892798736e-05,1.2677158937086788e-05,0.0031670160296496
108,1.2677158937086788e-05,1.2170072579603316e-05,0.0048650530451605
109,1.2170072579603316e-05,1.1683269676419184e-05,0.0041651280634666
110,1.1683269676419184e-05,1.1215938889362415e-05,0.0034804712905924
111,1.1215938889362415e-05,1.076730133378792e-05,0.0047472661404729
112,1.076730133378792e-05,1.0336609280436402e-05,0.0031932010848397
113,1.0336609280436402e-05,9.923144909218944e-06,0.0039122153502238
114,9.923144909218944e-06,9.526219112850188e-06,0.003862032313725
115,9.526219112850188e-06,9.14517034833618e-06,0.0037938223498389
116,9.14517034833618e-06,8.77936353440273e-06,0.0044424481667606
117,8.77936353440273e-06,8.428188993026622e-06,0.0028636399346776
118,8.428188993026622e-06,8.091061433305557e-06,0.0036589575723188
119,8.091061433305557e-06,7.767418975973334e-06,0.0039803968454435
120,7.767418975973334e-06,7.4567222169344e-06,0.0029365058497577
121,7.4567222169344e-06,7.158453328257024e-06,0.0015741626317541
122,7.158453328257024e-06,6.872115195126742e-06,0.0027840127206784
123,6.872115195126742e-06,6.597230587321673e-06,0.0032492477752045
124,6.597230587321673e-06,6.333341363828806e-06,0.0027270034245993
125,6.333341363828806e-06,6.0800077092756535e-06,0.0053604919456901
126,6.0800077092756535e-06,5.836807400904627e-06,0.0045358311537317
